timestamp,event_type,duration
2023/10/14 10:18:17,update GPU availability:,37.700385ms
2023/10/14 10:18:21,update device duration:,3.520746947s
2023/10/14 10:18:28,unassign duration:,6.92694047s
2023/10/14 10:18:42,assign duration:,13.594598507s
2023/10/14 10:18:42,reconfig total time:,24.441843677s
2023/10/14 10:16:15,unassign duration:,5.933133023s
2023/10/14 10:16:31,assign duration:,15.4825818s
2023/10/14 10:16:37,unassign duration:,5.92010584s
2023/10/14 10:16:54,assign duration:,17.517433596s
2023/10/14 10:17:04,unassign duration:,9.817511149s
2023/10/14 10:17:17,assign duration:,13.016709725s
2023/10/14 10:17:17,reconfig total time:,1m30.625271215s
2023/10/14 10:18:17,update GPU availability:,37.700385ms
2023/10/14 10:18:21,update device duration:,3.520746947s
2023/10/14 10:18:28,unassign duration:,6.92694047s
2023/10/14 10:18:42,assign duration:,13.594598507s
2023/10/14 10:18:42,reconfig total time:,24.441843677s
2023/10/14 10:16:54,assign duration:,17.517433596s
2023/10/14 10:17:04,unassign duration:,9.817511149s
2023/10/14 10:17:17,assign duration:,13.016709725s
2023/10/14 10:17:17,reconfig total time:,1m30.625271215s
2023/10/14 10:18:17,update GPU availability:,37.700385ms
2023/10/14 10:18:21,update device duration:,3.520746947s
2023/10/14 10:18:28,unassign duration:,6.92694047s
2023/10/14 10:18:42,assign duration:,13.594598507s
2023/10/14 10:18:42,reconfig total time:,24.441843677s
2023/10/14 10:28:19,update GPU availability:,950.845771ms
2023/10/14 10:28:22,update device duration:,2.858794948s
2023/10/14 10:28:27,unassign duration:,5.074932685s
2023/10/14 10:28:37,assign duration:,10.490498912s
2023/10/14 10:28:37,reconfig total time:,19.62414088s
2023/10/14 10:16:54,assign duration:,17.517433596s
2023/10/14 10:17:04,unassign duration:,9.817511149s
2023/10/14 10:17:17,assign duration:,13.016709725s
2023/10/14 10:17:17,reconfig total time:,1m30.625271215s
2023/10/14 10:18:17,update GPU availability:,37.700385ms
2023/10/14 10:18:21,update device duration:,3.520746947s
2023/10/14 10:18:28,unassign duration:,6.92694047s
2023/10/14 10:18:42,assign duration:,13.594598507s
2023/10/14 10:18:42,reconfig total time:,24.441843677s
2023/10/14 10:28:19,update GPU availability:,950.845771ms
2023/10/14 10:28:22,update device duration:,2.858794948s
2023/10/14 10:28:27,unassign duration:,5.074932685s
2023/10/14 10:28:37,assign duration:,10.490498912s
2023/10/14 10:28:37,reconfig total time:,19.62414088s
2023/10/14 10:16:54,assign duration:,17.517433596s
2023/10/14 10:17:04,unassign duration:,9.817511149s
2023/10/14 10:17:17,assign duration:,13.016709725s
2023/10/14 10:17:17,reconfig total time:,1m30.625271215s
2023/10/14 10:18:17,update GPU availability:,37.700385ms
2023/10/14 10:18:21,update device duration:,3.520746947s
2023/10/14 10:18:28,unassign duration:,6.92694047s
2023/10/14 10:18:42,assign duration:,13.594598507s
2023/10/14 10:18:42,reconfig total time:,24.441843677s
2023/10/14 10:28:19,update GPU availability:,950.845771ms
2023/10/14 10:28:22,update device duration:,2.858794948s
2023/10/14 10:28:27,unassign duration:,5.074932685s
2023/10/14 10:28:37,assign duration:,10.490498912s
2023/10/14 10:28:37,reconfig total time:,19.62414088s
2023/10/14 10:17:04,unassign duration:,9.817511149s
2023/10/14 10:17:17,assign duration:,13.016709725s
2023/10/14 10:17:17,reconfig total time:,1m30.625271215s
2023/10/14 10:18:17,update GPU availability:,37.700385ms
2023/10/14 10:18:21,update device duration:,3.520746947s
2023/10/14 10:18:28,unassign duration:,6.92694047s
2023/10/14 10:18:42,assign duration:,13.594598507s
2023/10/14 10:18:42,reconfig total time:,24.441843677s
2023/10/14 10:28:19,update GPU availability:,950.845771ms
2023/10/14 10:28:22,update device duration:,2.858794948s
2023/10/14 10:28:27,unassign duration:,5.074932685s
2023/10/14 10:28:37,assign duration:,10.490498912s
2023/10/14 10:28:37,reconfig total time:,19.62414088s
2023/10/14 10:18:28,unassign duration:,6.92694047s
2023/10/14 10:18:42,assign duration:,13.594598507s
2023/10/14 10:18:42,reconfig total time:,24.441843677s
2023/10/14 10:28:19,update GPU availability:,950.845771ms
2023/10/14 10:28:22,update device duration:,2.858794948s
2023/10/14 10:28:27,unassign duration:,5.074932685s
2023/10/14 10:28:37,assign duration:,10.490498912s
2023/10/14 10:28:37,reconfig total time:,19.62414088s
2023/10/14 10:34:32,update GPU availability:,521.93826ms
2023/10/14 10:34:35,update device duration:,2.406464985s
2023/10/14 10:34:40,unassign duration:,5.818476901s
2023/10/14 10:34:53,assign duration:,12.660946823s
2023/10/14 10:34:53,reconfig total time:,21.685755809s
2023/10/14 10:18:28,unassign duration:,6.92694047s
2023/10/14 10:18:42,assign duration:,13.594598507s
2023/10/14 10:18:42,reconfig total time:,24.441843677s
2023/10/14 10:28:19,update GPU availability:,950.845771ms
2023/10/14 10:28:22,update device duration:,2.858794948s
2023/10/14 10:28:27,unassign duration:,5.074932685s
2023/10/14 10:28:37,assign duration:,10.490498912s
2023/10/14 10:28:37,reconfig total time:,19.62414088s
2023/10/14 10:34:32,update GPU availability:,521.93826ms
2023/10/14 10:34:35,update device duration:,2.406464985s
2023/10/14 10:34:40,unassign duration:,5.818476901s
2023/10/14 10:34:53,assign duration:,12.660946823s
2023/10/14 10:34:53,reconfig total time:,21.685755809s
2023/10/14 10:18:28,unassign duration:,6.92694047s
2023/10/14 10:18:42,assign duration:,13.594598507s
2023/10/14 10:18:42,reconfig total time:,24.441843677s
2023/10/14 10:28:19,update GPU availability:,950.845771ms
2023/10/14 10:28:22,update device duration:,2.858794948s
2023/10/14 10:28:27,unassign duration:,5.074932685s
2023/10/14 10:28:37,assign duration:,10.490498912s
2023/10/14 10:28:37,reconfig total time:,19.62414088s
2023/10/14 10:34:32,update GPU availability:,521.93826ms
2023/10/14 10:34:35,update device duration:,2.406464985s
2023/10/14 10:34:40,unassign duration:,5.818476901s
2023/10/14 10:34:53,assign duration:,12.660946823s
2023/10/14 10:34:53,reconfig total time:,21.685755809s
2023/10/14 10:18:28,unassign duration:,6.92694047s
2023/10/14 10:18:42,assign duration:,13.594598507s
2023/10/14 10:18:42,reconfig total time:,24.441843677s
2023/10/14 10:28:19,update GPU availability:,950.845771ms
2023/10/14 10:28:22,update device duration:,2.858794948s
2023/10/14 10:28:27,unassign duration:,5.074932685s
2023/10/14 10:28:37,assign duration:,10.490498912s
2023/10/14 10:28:37,reconfig total time:,19.62414088s
2023/10/14 10:34:32,update GPU availability:,521.93826ms
2023/10/14 10:34:35,update device duration:,2.406464985s
2023/10/14 10:34:40,unassign duration:,5.818476901s
2023/10/14 10:34:53,assign duration:,12.660946823s
2023/10/14 10:34:53,reconfig total time:,21.685755809s
2023/10/14 10:18:28,unassign duration:,6.92694047s
2023/10/14 10:18:42,assign duration:,13.594598507s
2023/10/14 10:18:42,reconfig total time:,24.441843677s
2023/10/14 10:28:19,update GPU availability:,950.845771ms
2023/10/14 10:28:22,update device duration:,2.858794948s
2023/10/14 10:28:27,unassign duration:,5.074932685s
2023/10/14 10:28:37,assign duration:,10.490498912s
2023/10/14 10:28:37,reconfig total time:,19.62414088s
2023/10/14 10:34:32,update GPU availability:,521.93826ms
2023/10/14 10:34:35,update device duration:,2.406464985s
2023/10/14 10:34:40,unassign duration:,5.818476901s
2023/10/14 10:34:53,assign duration:,12.660946823s
2023/10/14 10:34:53,reconfig total time:,21.685755809s
2023/10/14 10:28:27,unassign duration:,5.074932685s
2023/10/14 10:28:37,assign duration:,10.490498912s
2023/10/14 10:28:37,reconfig total time:,19.62414088s
2023/10/14 10:34:32,update GPU availability:,521.93826ms
2023/10/14 10:34:35,update device duration:,2.406464985s
2023/10/14 10:34:40,unassign duration:,5.818476901s
2023/10/14 10:34:53,assign duration:,12.660946823s
2023/10/14 10:34:53,reconfig total time:,21.685755809s
2023/10/14 10:39:57,update GPU availability:,1.599547537s
2023/10/14 10:39:59,update device duration:,2.381392818s
2023/10/14 10:40:05,unassign duration:,5.885975808s
2023/10/14 10:40:22,assign duration:,17.149149078s
2023/10/14 10:40:22,reconfig total time:,27.416060853s
2023/10/14 10:28:27,unassign duration:,5.074932685s
2023/10/14 10:28:37,assign duration:,10.490498912s
2023/10/14 10:28:37,reconfig total time:,19.62414088s
2023/10/14 10:34:32,update GPU availability:,521.93826ms
2023/10/14 10:34:35,update device duration:,2.406464985s
2023/10/14 10:34:40,unassign duration:,5.818476901s
2023/10/14 10:34:53,assign duration:,12.660946823s
2023/10/14 10:34:53,reconfig total time:,21.685755809s
2023/10/14 10:39:57,update GPU availability:,1.599547537s
2023/10/14 10:39:59,update device duration:,2.381392818s
2023/10/14 10:40:05,unassign duration:,5.885975808s
2023/10/14 10:40:22,assign duration:,17.149149078s
2023/10/14 10:40:22,reconfig total time:,27.416060853s
2023/10/15 12:18:27,update GPU availability:,5.197593992s
2023/10/15 12:18:30,update device duration:,2.710330318s
2023/10/15 12:18:37,unassign duration:,6.924480386s
2023/10/15 12:18:53,assign duration:,16.196752206s
2023/10/15 12:18:53,reconfig total time:,31.428781981s
2023/10/15 12:18:27,update GPU availability:,5.197593992s
2023/10/15 12:18:30,update device duration:,2.710330318s
2023/10/15 12:18:37,unassign duration:,6.924480386s
2023/10/15 12:18:53,assign duration:,16.196752206s
2023/10/15 12:18:53,reconfig total time:,31.428781981s
2023/10/15 12:18:27,update GPU availability:,5.197593992s
2023/10/15 12:18:30,update device duration:,2.710330318s
2023/10/15 12:18:37,unassign duration:,6.924480386s
2023/10/15 12:18:53,assign duration:,16.196752206s
2023/10/15 12:18:53,reconfig total time:,31.428781981s
2023/10/15 12:24:08,update GPU availability:,927.087269ms
2023/10/15 12:24:12,update device duration:,3.657192422s
2023/10/15 12:24:20,unassign duration:,7.559866538s
2023/10/15 12:24:36,assign duration:,16.526097939s
2023/10/15 12:24:36,reconfig total time:,28.942282444s
2023/10/15 12:18:27,update GPU availability:,5.197593992s
2023/10/15 12:18:30,update device duration:,2.710330318s
2023/10/15 12:18:37,unassign duration:,6.924480386s
2023/10/15 12:18:53,assign duration:,16.196752206s
2023/10/15 12:18:53,reconfig total time:,31.428781981s
